,genres,original_language,popularity,release_date,runtime,status,vote_average,vote_count
0,7,1,21.946943,1995,81,0,7,5415.0
1,4,1,17.015539,1995,104,0,6,2413.0
2,11,1,11.7129,1995,101,0,6,92.0
3,3,1,3.859495,1995,127,0,6,34.0
4,3,1,8.387519000000001,1995,106,0,5,173.0
5,8,1,17.924927,1995,170,0,7,1886.0
6,3,1,6.677277,1995,127,0,6,141.0
7,8,1,2.5611610000000002,1995,97,0,5,45.0
8,8,1,5.23158,1995,106,0,5,174.0
9,4,1,14.686035999999998,1995,130,0,6,1194.0
10,3,1,6.318445,1995,106,0,6,199.0
11,3,1,5.430331,1995,88,0,5,210.0
12,13,1,12.140733,1995,78,0,7,423.0
13,16,1,5.092,1995,192,0,7,72.0
14,8,1,7.284477000000001,1995,119,0,5,137.0
15,2,1,10.137389,1995,178,0,7,1343.0
16,2,1,10.673167,1995,136,0,7,364.0
17,6,1,9.026586,1995,98,0,6,539.0
18,6,1,8.205447999999999,1995,90,0,6,1128.0
19,8,1,7.337905999999999,1995,103,0,5,224.0
20,3,1,12.669608,1995,105,0,6,305.0
21,2,1,10.701801,1995,124,0,6,199.0
22,8,1,11.065939,1995,132,0,6,394.0
23,2,1,12.133094,1995,111,0,6,143.0
24,2,1,10.332025,1995,112,0,7,365.0
25,2,1,1.8458990000000002,1995,123,0,7,33.0
26,3,1,8.681325,1995,100,0,6,91.0
27,2,1,2.228434,1995,104,0,7,36.0
28,1,2,9.822422999999999,1995,108,0,7,308.0
29,2,3,1.1009149999999999,1995,108,0,6,17.0
30,2,1,9.481338000000001,1995,99,0,6,249.0
31,17,1,12.297305,1995,129,0,7,2470.0
32,11,2,0.745542,1996,50,0,6,4.0
33,1,1,14.404764000000002,1995,89,0,6,756.0
34,16,1,1.4933610000000002,1995,121,0,6,16.0
35,2,1,6.891317,1995,122,0,7,350.0
36,4,1,0.114469,1995,51,0,3,2.0
37,3,1,7.777735000000001,1995,101,0,6,149.0
38,3,1,9.882383,1995,97,0,6,828.0
39,2,1,0.894647,1995,106,0,6,13.0
40,2,1,4.561387,1995,104,0,6,50.0
41,8,1,9.87957,1995,119,0,6,80.0
42,2,1,10.979269,1995,117,0,6,30.0
43,8,1,10.870138,1995,101,0,5,452.0
44,1,1,10.448481,1995,106,0,6,177.0
45,2,1,4.485958,1995,116,0,6,38.0
46,6,1,18.45743,1995,127,0,8,5915.0
47,4,1,13.280069000000001,1995,81,0,6,1509.0
48,2,1,3.302524,1995,96,0,5,10.0
49,2,1,16.302466,1995,106,0,8,3334.0
50,8,1,0.595949,1994,93,0,6,3.0
51,3,1,15.899134,1995,95,0,6,145.0
52,2,4,1.361286,1994,116,0,7,11.0
53,8,1,5.9827639999999995,1995,100,0,5,41.0
54,2,1,4.093443,1995,115,0,6,15.0
55,3,1,8.416802,1995,103,0,6,39.0
56,3,4,10.168436999999999,1994,108,0,7,181.0
57,20,2,0.12078900000000001,1995,100,0,6,2.0
58,4,1,10.673296,1995,96,0,5,136.0
59,2,1,4.733526,1996,101,0,5,65.0
60,15,1,7.137117,1995,137,0,6,115.0
61,3,1,11.700115,1996,89,0,6,192.0
62,3,1,2.174487,1996,96,0,4,14.0
63,3,1,6.387469,1996,88,0,4,110.0
64,8,1,2.49535,1996,92,0,2,32.0
65,2,1,4.046208,1995,85,0,5,11.0
66,3,2,2.518051,1995,95,0,6,43.0
67,3,1,14.56965,1995,91,0,7,513.0
68,5,1,15.339153,1996,108,0,6,1644.0
69,8,1,5.912223,1995,91,0,4,54.0
70,3,1,3.3672760000000004,1995,96,0,7,36.0
71,2,2,1.4794459999999998,1995,175,0,6,8.0
72,2,1,10.412194,1996,87,0,5,27.0
73,3,1,2.936443,1996,90,0,3,16.0
74,5,1,12.758848,1995,108,0,6,154.0
75,14,1,0.133893,1995,70,0,7,3.0
76,2,1,5.756462,1995,111,0,6,74.0
77,2,1,6.010579,1996,118,0,5,91.0
78,13,5,1.196256,1995,85,0,7,20.0
79,2,1,4.486179,1995,116,0,6,87.0
80,2,6,2.030174,1995,102,0,7,26.0
81,11,1,0.252287,1996,115,0,4,2.0
82,2,1,2.1516599999999997,1995,118,0,6,17.0
83,8,1,9.568603999999999,1996,129,0,6,86.0
84,4,1,4.814825,1996,88,0,5,59.0
85,3,1,8.963037,1996,87,0,6,124.0
86,6,1,6.848591000000001,1995,90,0,6,190.0
87,2,1,0.41142399999999996,1995,91,0,6,3.0
88,2,1,12.866139,1996,104,0,5,77.0
89,3,1,9.071127,1995,100,0,4,113.0
90,3,1,4.670562,1996,112,0,6,103.0
91,8,1,14.957626000000001,1996,108,0,5,459.0
92,3,1,0.5133909999999999,1995,99,0,7,6.0
93,2,2,12.108196000000001,1995,98,0,7,695.0
94,8,1,2.6576470000000003,1994,105,0,5,13.0
95,14,1,0.638211,1995,106,0,6,4.0
96,2,1,4.8072230000000005,1996,111,0,6,67.0
97,3,1,6.904831,1996,91,0,6,285.0
98,3,1,3.329264,1996,96,0,3,16.0
99,2,1,2.464425,1996,106,0,5,22.0
100,3,1,9.592265,1996,92,0,6,767.0
101,2,1,5.951077,1995,135,0,7,397.0
102,2,7,1.015068,1994,104,0,5,5.0
103,8,1,6.902423,1996,100,0,6,93.0
104,14,1,0.976707,1995,95,0,7,2.0
105,8,1,20.755149,1995,177,0,7,3404.0
