item_id;vectors
0;0.4981154|0.4470797|-0.5274453|0.19808108|0.3880988|0.6457919|-0.20602667|0.42325494|0.54747176|-0.48116642|-0.43643355|0.039563715|-0.35544223|-0.5221718|-0.4715361|-0.097155094|-0.024698988|-0.45716557|1.132802|-0.10601844|0.4093505|-0.89631677|0.505091|-1.2992473|-0.7100736|0.52834255|-0.049608737|-0.7183441|-1.297126|-1.0020353|-0.5914628|-0.3411984|0.42392367|-0.40871835|-0.27358633|0.22937298|0.21545304|0.49827528|-0.14755853|-0.01964134|-0.01431486|0.050274216|-0.73585916|-0.24178104|0.9815861|-0.2367266|-0.30023748|-0.44905445|-0.32387346|0.3602115|0.07589118|-0.3280016|0.099148296|-0.36181998|-0.92690825|-0.326682|-0.675814|0.35805002|-0.89247894|0.37503657|-0.10811731|-0.58757937|-0.70655775|0.6746429|0.115726724|-0.4985607|0.2072203|-0.7201042|-0.9275051|-0.51966|-0.116366476|-0.11731112|0.75715995|-0.024703711|0.2046021|-0.39581323|-0.6100312|0.25870708|0.20864472|-0.45508367|0.88899934|0.16838288|0.25861302|-0.057355642|-0.07892454|-0.60546505|-0.26603386|0.7344905|-0.3498335|0.2470691|-0.6254526|-0.19126068|0.26236865|-0.32152393|0.86820555|-0.37513536|0.44525546|-0.045366824|0.12078011|-0.6014215
1;-0.6211719|0.021882802|0.061845526|0.2648681|-0.5998515|0.047432702|-0.14638987|-0.023052346|0.5502144|-0.36461985|-0.35678917|0.20438334|0.6078399|0.13973854|0.111041985|0.17195678|-0.7695064|0.86868244|0.3753752|-0.15884133|0.26968712|-0.14512885|0.31637594|-0.1745947|-0.4379214|0.38325483|-0.17214413|-0.19982776|-0.5557314|-0.34666377|-0.14860286|0.43174672|0.5100365|-0.32661837|0.4120757|0.5954783|-0.28408355|0.4531998|0.09852053|-0.48595667|-0.24260503|0.13254398|-0.53555363|-0.94597495|0.15455446|-0.16783692|-0.5480032|-1.2043977|0.24330413|0.21232353|-0.035798892|-0.97114575|-0.20734794|-0.7344279|-0.35470307|-0.18696257|-0.07326895|0.118781224|-0.20998704|0.6010678|-0.6216298|0.14254016|0.13358268|0.0735527|-0.6360361|-0.4325929|-0.1905111|-1.0407997|-0.8884157|-0.09823272|-0.10757521|-0.29322022|0.05798707|-0.30675983|0.7255516|-0.79348|-0.15825978|-0.21769245|0.34118986|-0.34611067|0.75559247|-0.30507052|-0.40608913|0.6133741|-0.7260666|-0.5420887|-0.15571961|-0.12875316|-0.5782855|0.043660097|-0.25771305|0.5319638|-0.05003035|-0.68904495|-0.13108517|-0.25553143|-0.04513371|0.21477157|0.43041044|-1.0724444
2;-0.22381762|0.3311969|-0.22582576|-0.04105079|-0.24070132|0.09689833|0.03883618|-0.29988775|0.010885924|-0.49313158|-0.6903238|0.37505844|0.82485235|-0.34434575|0.11595702|0.18024623|-0.045724973|0.09818411|0.9945631|-0.042235512|-0.29714662|-0.49793658|0.29333025|-0.5878465|-0.15423876|0.2194728|-0.14592972|0.3394143|-0.13971567|-0.48038083|0.61058164|0.077019535|1.1823626|-0.25249746|-0.08610955|0.03297569|-0.3884343|0.41277522|-0.035762653|-1.2788492|-0.2521638|0.08463748|-0.1336658|-0.49134508|0.79988533|0.78006667|-0.5881304|-0.39383587|0.36594957|0.5737994|0.38920662|-0.18242037|-0.021398202|-0.20254602|-0.5540732|0.19956106|-0.68387717|-0.17026538|-0.60246205|0.29690826|-0.17939484|0.3415394|-0.8893409|0.5001945|-0.45147392|-0.14069025|-0.05202619|0.11568764|-0.061050087|-0.17334583|0.82726836|-0.07324585|0.3080984|-0.23401873|0.22560796|-0.54000306|-0.123435386|-0.82842493|0.12391075|-0.5986882|0.55379885|-0.4827139|-0.6371139|0.44104704|-0.66386324|-0.21486925|-0.058016583|-0.14781073|0.07171613|-0.06284545|-0.22895996|0.5694155|-0.46158072|-0.33798632|0.3071676|-0.38302636|0.51130795|0.38028124|-0.71587765|-0.9122292
3;0.28210393|-0.032525778|-0.04114379|0.31440616|-0.6468364|-0.034782387|0.07686114|0.2883137|0.45746195|-0.37266895|-0.2275496|0.08329901|0.10495123|-0.57308936|0.07983391|0.3390519|-0.27821195|0.24685295|0.07566172|0.13462277|0.4945984|-0.15407228|0.6565523|0.21222338|-0.40189838|0.32960403|-0.037563503|-0.17035487|-0.29279527|-0.24972486|0.19461334|0.16724284|0.4793113|0.045948878|-0.4784723|-0.10833159|-0.2050616|-0.25223383|0.5121627|-0.52258646|0.08716756|0.14819014|0.18219241|-0.675184|1.0731223|0.27592838|0.0029417872|-0.31278342|0.23443171|0.4556483|0.19556656|-0.91560173|-0.015769944|-0.50926125|0.08647385|0.21271053|-0.3321614|0.18905093|-0.51104283|0.5924901|-0.36009568|0.06740561|-0.537147|0.48459858|-0.17507309|-0.7983192|0.4615438|-0.14256924|-0.51591045|0.48927286|0.5324688|-0.7520159|-0.12826028|0.5599786|0.8397223|-0.49048993|0.067419246|-0.32628167|0.12048703|-0.6042899|-0.045520246|-0.48553956|-0.23260534|0.7550653|-1.1549072|-0.255216|-0.75269675|-0.27063045|-0.33514455|0.43001842|-0.15277174|0.5166972|-0.09539968|0.1749709|0.5920973|0.036367536|-0.27244678|0.40903372|0.35324878|-0.13246766
4;-0.12637623|0.07632473|-0.3249348|0.47404572|-0.79716086|0.4778682|0.07490426|-0.57315785|0.48646808|0.13883413|-0.03750129|0.5910969|0.42408255|0.06169428|0.058955446|0.5772687|0.08909942|0.7209557|0.698304|-0.09182657|-0.22252433|-0.62818646|0.7513859|-0.010363996|0.22946084|0.15643221|-0.36332232|-0.477354|-0.31262118|-0.041659385|-0.12550671|0.23693071|0.11987367|-0.69176286|0.23856768|0.17724022|-0.42259347|0.70056665|0.44923323|-0.38456723|-0.348509|0.48245773|0.1694938|-0.31840658|0.36713153|0.027311504|-0.04125464|-0.67408127|0.11600953|0.5857903|0.46858233|-0.41776472|0.36259624|-0.33223486|-0.1343752|-0.012015581|-0.5877879|0.5829885|0.1034379|0.67778754|-0.6018181|-0.013701394|0.17558375|0.32249576|-0.4766549|0.4365679|0.33166936|-0.8285744|-0.62718475|0.17968994|-0.009042054|-0.78582716|-0.41147774|-0.31239274|0.56096226|-0.041615993|-0.5540811|0.11646345|-0.046756398|-0.40244183|-0.08070117|0.17092693|-0.32741153|0.42507014|-0.38902277|0.01820317|-0.20812541|-0.62861156|-0.6539588|-0.2775804|-0.3993282|0.23737377|0.013180271|-0.50341254|0.17154095|-0.07682371|0.7159772|0.6757065|-0.43591225|-0.36114687
5;-0.6841425|0.23290488|0.502628|-0.1647098|-0.97626233|0.36004114|-0.3751836|-0.2914367|0.57552594|0.37562668|0.09869668|0.6887866|0.6146016|-0.33527476|-0.07055694|0.48592865|-0.61239636|0.3886848|0.35098827|0.24004738|0.49702907|-0.3615148|0.103163764|-0.6763599|0.14542988|-0.02345422|-0.32138345|-0.38292181|-0.3501697|-0.2272573|0.4482482|0.85431004|0.652586|-0.12289523|-0.50775045|0.08134325|-0.7324403|-0.10504928|0.3905365|-0.60552126|-0.5084474|0.05208662|0.018500268|-0.41433167|0.38962394|0.32667464|-0.22809184|-0.05399838|0.5025016|0.020514071|0.66985303|-0.71172434|-0.47583425|-0.04249096|-0.36545676|0.37116408|-0.82604|0.33099833|-0.1634858|0.08830154|-0.65135515|-0.07414132|0.01346159|-0.178131|0.02692005|0.079582065|-0.45159444|-0.08498341|0.13910794|0.2106249|0.1755797|-1.0425379|0.29178527|0.09100646|0.67866814|-0.39920467|0.23082383|-0.37990493|0.41324353|0.1687221|-0.067397326|-0.61337304|0.1260015|0.2685852|-0.26314315|0.040237933|-0.8622737|-0.2649669|-1.2991692|-0.1594393|-0.9806633|-0.01785186|-0.09508157|-0.7720996|-0.025530726|-0.03330244|0.15610234|0.1904205|-0.21096575|-0.31397244
6;0.46483|-0.11446276|0.7374573|0.2303333|0.021743715|-0.06490018|-0.10669367|0.2891532|0.20361166|-0.57750267|0.22352535|0.05358526|0.46598384|-0.31369185|-0.12127727|-0.28418618|-0.5111857|0.44759548|0.49035943|0.32224032|1.0269814|-0.6795376|-0.5821248|0.40888563|-0.26185423|-0.17295049|0.4125016|0.45061868|-0.7160833|-0.32787544|-0.20167483|-1.0021454|1.4227278|-0.19239193|0.2485756|-0.54034364|0.86703336|0.2111688|-0.17226653|-0.54907525|-0.45713732|0.1934845|-0.05061713|0.44751817|0.7457537|0.8213083|-0.59448624|-0.6375504|0.12720935|0.31267354|0.19606753|-0.5121584|-0.1281896|0.12420949|-0.22218601|-0.59495807|0.14115143|-0.3893373|-0.1036257|0.3236915|-0.001363039|-0.47479385|-0.5045483|0.23984788|-1.1513546|0.029892534|0.36279923|0.17784142|-0.1418582|0.5996492|0.46888933|-0.44495007|-0.5065145|-0.41688922|0.9433398|-0.615791|-0.6756846|-0.7974738|0.6826204|-0.23377788|0.40067393|-0.479999|-1.1396909|-0.033709943|-0.93022966|-0.48856518|0.35900602|-0.30063304|-1.0267303|-0.026639286|-0.087534964|0.20107971|0.4021814|0.17820188|0.34214136|-0.6708033|0.5743573|0.92932045|0.23111027|-0.46018222
7;0.089555204|-0.026257098|0.022836864|0.50799537|-0.6536851|-0.12257164|-0.16756147|0.3147434|-0.1815866|-0.26654804|-0.042493045|0.43733245|0.86646694|-0.4013461|0.5715822|0.47638896|-0.083915286|0.44917876|0.8597762|0.4284581|0.115832135|-0.0779469|0.19022226|-0.36262673|-0.4247071|0.6348229|0.348097|-0.63881433|-0.61086315|-0.0072364807|0.14994758|-0.3533993|0.6186286|-0.2183379|-0.0585209|0.641857|-0.12612058|0.3009332|-0.06819992|-0.8374034|-0.611743|0.01817751|-0.5750669|-0.20101297|0.23270723|0.6325152|0.030680537|-0.5654348|0.255686|0.5167596|0.44911796|-0.8120059|0.049219377|-0.069775194|0.30527115|-0.15739676|-0.13971078|-0.5219974|0.023688823|0.20138665|-0.39318174|-0.1627216|0.03603193|0.20783164|-0.25284258|-0.093391836|-0.54006326|-0.7884693|-0.32912055|0.18735105|-0.05855757|-1.0548365|0.11998601|-0.53751576|0.4694491|-0.5181736|-0.13528463|-0.6298074|0.042400833|0.34205878|0.23974569|0.03941512|-0.115744516|0.9999684|-0.80090547|-0.28785294|-0.089521945|0.16097036|-0.24201|-0.22630484|-0.27783668|0.26788425|0.25956023|-0.8582876|-0.13758452|0.04394394|0.72033054|0.41213572|-0.70504713|-0.7085656
8;-0.5948862|1.1678119|0.15821546|0.4534249|-0.80497396|-0.06418803|-0.31400758|-0.81556773|0.29501966|-0.2933945|-1.2078037|0.57663524|0.32860896|-0.055298045|0.83216053|0.6322188|-0.32327187|0.044667035|0.5526212|-0.02761272|0.6858986|-0.7344359|-0.30399373|-0.811581|-0.0942349|-0.04557897|-1.0241038|-0.1011482|0.47029203|-0.6514299|0.39396468|1.0844787|-0.22082168|0.078924134|0.37617123|-0.27720937|-0.8428981|0.81081605|0.39393055|-0.911491|0.03104277|-0.38142845|0.2045534|-0.67514193|0.34269565|-0.2119265|0.08128178|-0.39287767|0.16340053|0.7590862|-0.40139145|-0.8010192|-0.39380082|-0.85292006|0.020026743|0.0789814|-0.5885925|0.3366352|0.28739306|-0.18380764|-0.62300867|0.10175291|-0.12454502|-0.29195833|0.049143|-0.52407646|0.2752352|0.5805913|-0.13613243|0.2137902|0.9389932|-0.4981881|-0.4509469|0.4744614|0.43437463|-0.8164065|-0.4511283|-0.6586315|9.7335316e-05|-0.39736122|0.42943013|-0.7840462|-0.28436208|0.5133924|-0.543431|-0.35049883|-0.97977126|-0.46395397|-1.1375637|-0.47904256|-0.55650485|0.372885|0.5748867|-0.37330207|0.30314097|-0.0922178|0.776037|0.67682326|0.14013043|-0.61346304
9;-0.7935143|0.5580117|-0.26440427|0.36568096|-0.8313651|-0.4296228|-0.32468164|0.10725447|-0.17373243|0.07811074|0.00060132146|-0.025902152|0.65080017|0.2839343|0.21526015|0.17807427|-0.18856837|0.5831614|1.2257507|0.070396364|0.44779658|-0.24283731|0.73009014|-0.46312994|-0.4495099|0.15259217|-0.038899243|0.117666736|0.03206995|-0.123844385|0.80036867|-0.020016357|0.58064556|-0.10779645|0.18421619|0.040756404|-0.6346564|-0.12113699|-0.13404687|-1.018539|-0.13825765|0.03787055|0.18009517|-0.6913428|0.07963535|0.40898216|-0.6103717|-0.8145417|-0.2577088|0.23189999|-0.39766353|-0.71576226|-0.18461096|-0.16799662|-0.37701416|-0.04263745|-0.61735326|0.14668232|-0.08896552|0.58414745|-1.1145285|-0.06067276|-0.056676388|-0.20306142|0.1886516|-0.42518288|-0.3614208|-0.41553798|-0.87351143|-0.06525166|-0.088621676|-0.58102804|0.09870916|-0.47634044|0.032336682|-1.026115|0.028962731|-0.40239272|-0.31521264|-0.46671385|0.015999168|-0.22442684|-0.47910655|-0.20826769|-0.723217|0.2754677|-0.096119985|-0.060967147|-0.42562574|0.049640022|0.0059447587|-0.08957924|0.09133266|-0.73101604|0.045264192|0.0076493025|0.0494408|0.050266445|-0.5521722|-0.5641779
