userId;state
196;286&5|663&5|153&5|8&5|
186;300&5|925&5|44&5|159&5|
22;204&5|186&5|238&5|184&5|
244;856&5|276&5|42&5|1119&5|
166;328&5|322&5|313&5|258&4|
298;482&5|604&5|237&5|88&5|
115;7&5|13&5|1073&5|952&5|
305;530&5|357&5|427&5|48&5|
6;488&5|475&5|523&5|14&5|
62;56&5|50&5|1129&5|521&5|
210;172&5|202&5|200&5|655&5|
224;313&5|1039&5|318&5|727&4|
303;64&5|83&5|483&5|23&5|
194;127&5|28&5|136&5|173&5|
291;69&5|129&5|567&5|174&5|
234;479&5|661&5|8&5|134&5|
119;268&5|11&5|537&5|1166&5|
167;1125&5|1126&5|435&5|521&5|
299;251&5|175&5|462&5|190&5|
308;11&5|177&5|175&5|654&5|
95;238&5|194&5|50&5|153&5|
102;208&4|447&4|183&4|612&4|
63;301&5|100&5|1137&5|277&4|
50;324&5|1010&5|1084&5|508&5|
301;215&5|69&5|181&5|195&5|
225;22&5|604&5|480&5|136&5|
290;158&5|50&5|22&5|210&5|
97;204&5|191&5|32&5|661&5|
157;268&5|515&5|117&5|1016&5|
181;476&4|9&4|220&4|270&4|
276;653&5|143&5|234&5|198&5|
7;447&5|141&5|484&5|238&5|
10;211&5|23&5|180&5|197&5|
284;347&5|301&5|304&4|286&4|
201;447&5|93&5|56&5|276&5|
178;184&5|174&5|157&5|275&5|
251;45&5|132&5|313&5|298&5|
81;186&5|79&5|98&5|591&5|
260;882&5|334&5|326&5|1243&5|
72;520&5|423&5|197&5|127&5|
87;230&5|97&5|781&5|944&5|
292;207&5|190&5|228&5|654&5|
20;588&4|252&4|82&4|243&4|
13;172&5|462&5|675&5|316&5|
246;219&5|109&5|567&5|81&5|
223;173&5|95&5|117&5|1016&5|
189;1065&5|174&5|50&5|178&5|
243;632&5|285&5|86&5|8&5|
92;100&5|169&5|69&5|223&5|
241;310&4|307&4|292&4|300&4|
254;313&5|135&5|423&5|97&5|
293;705&5|496&5|653&5|518&5|
222;135&5|568&5|218&5|127&5|
42;77&5|736&5|194&5|172&5|
11;357&5|745&5|718&5|9&5|
8;651&5|176&5|127&5|258&5|
145;879&5|665&5|237&5|234&5|
28;223&5|176&5|100&5|480&5|
135;23&4|173&4|939&4|258&4|
32;508&4|250&4|257&4|313&4|
286;403&5|738&5|289&5|1038&5|
216;22&5|651&5|943&5|655&5|
250;71&5|200&5|92&5|480&5|
160;174&5|192&5|182&5|100&5|
265;273&5|237&5|282&5|748&5|
198;127&5|531&5|89&5|1142&5|
58;238&5|511&5|367&5|603&5|
90;1199&5|606&5|8&5|732&5|
271;169&5|194&5|172&5|180&5|
279;186&5|408&5|24&5|175&5|
237;169&5|1192&5|603&5|513&5|
94;589&5|510&5|190&5|483&5|
128;136&5|216&5|64&5|427&5|
41;175&5|50&5|516&5|430&5|
82;430&5|603&5|64&5|100&5|
262;131&5|486&5|64&5|923&4|
59;23&5|64&5|218&5|736&5|
174;216&5|272&5|269&5|953&5|
43;169&5|301&5|208&5|300&5|
57;42&5|173&5|222&5|257&5|
84;194&5|543&5|87&5|12&5|
269;171&5|191&5|1428&5|185&5|
99;100&5|168&5|210&5|651&5|
259;357&5|313&5|180&5|168&5|
85;485&5|208&5|132&5|57&5|
121;313&5|9&5|57&5|135&5|
49;919&5|432&5|652&5|428&5|
155;872&3|294&3|319&3|292&3|
68;258&5|276&5|286&5|178&5|
268;134&5|96&5|302&5|50&5|
5;209&5|100&5|436&5|89&5|
44;168&5|318&5|209&5|9&5|
66;742&5|298&4|288&4|9&4|
18;223&5|12&5|45&5|170&5|
26;126&4|269&4|129&4|304&4|
200;673&5|318&5|210&5|423&5|
213;172&5|127&5|478&5|504&5|
130;93&5|403&5|763&5|895&5|
38;200&5|742&5|405&5|247&5|
256;1&5|550&5|22&5|54&5|
1;208&5|96&5|127&5|16&5|
56;194&5|117&5|50&5|121&5|
15;754&5|50&5|306&5|292&5|
207;357&5|153&5|871&5|515&5|
52;191&5|287&5|126&5|285&5|
125;222&5|143&5|511&5|98&5|
83;204&5|88&5|663&5|393&5|
110;77&4|11&4|69&4|96&4|
54;333&5|276&5|181&5|741&5|
16;496&5|467&5|200&5|498&5|
91;183&5|689&5|97&5|515&5|
294;475&5|288&5|249&5|50&5|
229;340&4|286&4|896&4|288&4|
70;172&5|588&5|511&5|419&5|
14;525&5|716&5|509&5|172&5|
214;1073&5|650&5|285&5|180&5|
192;9&5|302&5|108&4|813&4|
100;344&4|752&4|272&4|294&4|
297;272&5|70&5|238&5|168&5|
264;209&5|216&5|23&5|183&5|
193;282&5|487&5|69&5|187&4|
219;382&5|132&5|631&5|258&5|
123;435&5|285&5|504&5|9&5|
158;209&5|202&5|174&5|511&5|
302;258&3|289&3|358&3|328&3|
23;100&5|269&5|224&5|408&5|
33;300&4|323&4|328&4|343&4|
154;89&5|523&5|175&5|641&5|
296;508&5|357&5|237&5|528&5|
270;584&5|943&5|535&5|319&5|
101;288&4|121&4|742&4|255&4|
184;100&5|1167&5|1137&5|213&5|
112;346&5|312&5|313&5|272&5|
218;98&5|657&5|516&5|1073&5|
133;269&4|315&4|316&4|750&4|
215;1039&5|517&5|496&5|313&5|
104;150&5|15&5|302&5|313&4|
267;24&5|464&5|228&5|169&5|
240;895&5|269&5|301&5|288&5|
144;195&5|747&5|194&5|318&5|
191;302&4|286&4|340&4|331&4|
61;310&4|1127&4|304&4|678&3|
275;210&4|523&4|50&4|294&4|
272;210&5|521&5|134&5|56&5|
177;12&5|127&5|288&5|403&5|
203;288&5|283&5|332&5|276&4|
134;1&5|326&5|328&4|316&4|
236;9&5|750&5|427&5|97&5|
151;197&5|121&5|499&5|81&5|
109;451&5|550&5|226&5|1016&5|
249;147&5|634&5|42&5|56&5|
64;520&5|496&5|10&5|50&5|
114;100&5|522&5|183&5|89&5|
239;443&5|432&5|45&5|428&5|
60;60&5|608&5|515&5|168&5|
287;1&5|39&5|340&5|201&5|
117;282&5|168&5|886&5|214&5|
65;392&5|64&5|378&5|423&5|
295;157&5|164&5|7&5|70&5|
257;50&5|582&5|1462&5|1129&5|
187;694&5|83&5|168&5|65&5|
285;288&5|538&5|313&5|357&5|
96;174&5|483&5|200&5|265&5|
116;11&5|268&5|596&5|127&5|
73;173&5|64&5|154&5|479&5|
263;419&5|661&5|100&5|496&5|
221;721&5|246&5|156&5|96&5|
25;408&5|174&5|1&5|189&5|
235;474&5|275&5|483&5|705&5|
307;50&5|168&5|214&5|463&5|
164;331&5|148&5|291&5|866&5|
281;310&4|300&4|538&4|877&4|
182;423&5|178&5|596&5|50&5|
129;272&4|269&4|242&4|327&3|
45;127&5|100&5|257&5|13&5|
21;854&5|9&5|656&5|853&5|
197;449&5|172&5|183&5|127&5|
131;285&5|313&5|242&5|251&5|
230;515&5|739&5|951&5|496&5|
126;681&5|878&5|884&5|313&5|
231;181&4|121&4|300&4|50&4|
280;98&5|66&5|200&5|697&5|
288;887&5|197&5|64&5|69&5|
152;15&5|487&5|157&5|215&5|
217;79&5|685&5|231&5|403&5|
79;763&5|813&5|906&5|251&5|
138;435&5|514&5|137&5|56&5|
75;410&5|496&5|151&5|79&5|
69;150&5|172&5|234&5|100&5|
282;262&4|269&4|319&4|268&4|
78;411&4|412&4|289&4|257&4|
171;292&4|268&4|269&4|303&4|
107;258&4|302&4|268&4|312&4|
306;19&5|306&5|150&5|269&5|
173;305&5|242&5|328&5|324&5|
185;287&5|28&5|269&5|127&5|
150;246&5|475&5|268&5|293&4|
48;195&5|511&5|209&5|191&5|
311;392&5|64&5|645&5|86&5|
165;15&5|326&5|181&5|651&5|
2;127&5|251&5|50&5|302&5|
205;315&4|289&4|326&4|304&3|
274;164&5|15&5|50&5|181&5|
248;176&5|156&5|186&5|198&5|
122;191&5|86&5|464&5|1113&5|
93;222&4|845&4|275&4|476&4|
253;22&5|117&5|496&5|79&5|
77;199&5|153&5|154&5|173&5|
29;302&4|874&4|657&4|306&4|
156;197&5|641&5|661&4|100&4|
232;52&5|900&5|318&5|132&5|
168;866&5|313&5|126&5|257&5|
37;62&5|161&5|403&5|50&5|
141;7&5|282&5|291&5|333&5|
195;47&5|134&5|651&5|132&5|
108;515&5|14&5|10&5|100&4|
188;143&5|566&5|216&5|483&5|
161;316&5|100&4|69&4|98&4|
47;258&4|289&4|321&4|292&4|
113;126&5|328&5|874&5|257&5|
255;98&5|763&5|682&5|234&5|
36;883&5|882&5|358&5|261&5|
111;301&4|333&4|286&4|311&4|
140;880&4|321&4|304&4|289&4|
190;313&5|272&5|15&4|269&4|
226;9&5|98&5|258&5|203&5|
180;380&5|658&5|53&5|98&5|
17;294&4|269&4|1&4|475&4|
313;197&5|135&5|515&5|483&5|
148;50&5|174&5|474&5|209&5|
233;127&5|216&5|1194&5|70&5|
208;663&5|371&5|194&5|211&5|
283;432&5|659&5|173&5|91&5|
53;628&5|64&5|281&4|568&4|
124;144&4|616&4|7&4|226&4|
24;191&5|9&5|55&5|69&5|
149;346&4|345&4|896&4|303&4|
176;340&5|305&5|475&5|268&5|
106;191&5|194&5|165&5|97&5|
312;206&5|613&5|855&5|608&5|
153;56&5|258&5|265&4|568&4|
172;220&4|582&4|124&4|580&4|
220;298&4|682&4|289&4|294&4|
143;331&5|313&5|326&5|328&4|
199;269&5|408&5|9&5|475&5|
202;516&4|269&4|195&4|283&3|
277;221&4|628&4|508&4|293&4|
76;517&5|6&5|150&5|197&5|
136;647&5|100&5|9&5|124&5|
179;333&5|315&5|288&5|682&5|
118;654&5|919&5|475&5|53&5|
4;360&5|300&5|361&5|362&5|
304;294&4|271&4|763&4|278&4|
3;321&5|320&5|344&4|348&4|
206;895&5|288&5|313&5|315&5|
162;1019&4|628&4|28&4|147&4|
227;129&5|7&5|93&5|13&5|
252;1&5|149&5|275&5|286&5|
212;317&5|631&5|246&5|197&5|
314;588&5|138&5|993&5|815&5|
35;332&4|748&4|333&4|937&4|
105;268&4|272&4|286&4|269&4|
34;242&5|299&5|332&5|329&5|
51;172&5|144&5|132&4|64&4|
204;303&5|242&5|340&5|170&5|
315;318&5|269&5|204&5|56&5|
31;705&5|504&5|493&5|514&5|
103;527&5|24&4|301&4|294&4|
318;315&5|509&5|157&5|26&5|
142;134&5|514&5|346&5|176&5|
30;313&5|242&5|69&5|1007&5|
120;121&4|125&4|744&4|127&4|
137;174&5|680&5|385&5|405&5|
19;153&4|310&4|319&4|887&4|
46;262&5|333&5|1062&5|127&5|
289;455&4|24&4|685&4|471&4|
209;50&5|251&5|1086&4|766&4|
88;886&5|261&5|1191&5|904&5|
321;1194&5|633&5|432&5|132&5|
261;875&5|339&5|125&5|687&5|
266;286&4|124&4|285&4|313&4|
127;450&5|62&5|228&5|901&5|
238;405&4|538&4|300&4|121&4|
159;127&5|25&5|310&5|273&5|
80;215&5|100&5|205&5|64&5|
323;180&5|744&5|467&5|23&5|
170;300&5|984&5|245&5|333&4|
316;923&5|283&5|716&5|275&5|
211;423&5|127&4|286&4|117&4|
71;197&5|56&5|357&5|257&5|
98;629&5|435&5|428&5|25&5|
12;318&5|191&5|591&5|4&5|
258;326&5|748&5|286&5|751&5|
278;288&5|525&5|22&5|173&5|
228;286&5|655&4|288&4|651&4|
325;199&5|408&5|23&5|434&5|
175;234&5|11&5|483&5|172&5|
320;431&5|210&5|195&5|470&5|
310;1142&5|845&5|1022&5|251&5|
326;657&5|550&5|144&5|498&5|
67;405&5|1093&5|1095&4|472&4|
40;896&4|754&4|242&4|303&4|
147;339&5|304&5|750&5|301&5|
89;197&5|257&5|269&5|187&5|
319;332&4|267&4|880&4|333&4|
327;305&5|959&5|919&5|865&5|
183;177&5|241&4|216&4|380&4|
328;132&5|89&5|188&5|515&5|
74;307&4|690&4|7&4|258&4|
330;732&5|136&5|238&5|699&5|
27;9&4|121&4|370&4|246&4|
322;32&5|521&5|157&5|528&5|
331;302&5|269&5|305&5|958&5|
332;307&5|326&5|172&5|182&5|
329;100&4|313&4|12&4|483&4|
139;1233&5|297&5|100&5|268&4|
300;948&4|243&4|322&4|257&4|
247;258&5|50&5|28&5|257&4|
163;97&4|318&4|357&4|347&4|
333;88&5|66&5|127&4|186&4|
334;906&5|481&5|896&5|228&5|
39;937&5|347&4|294&4|269&4|
336;1012&5|168&5|154&5|204&5|
335;902&5|322&4|305&4|245&4|
324;410&5|288&5|301&5|1&5|
169;606&5|879&5|603&5|172&5|
338;443&5|134&5|603&5|480&5|
309;938&4|242&4|319&4|334&4|
339;357&5|191&5|603&5|182&5|
342;47&5|212&5|320&5|32&5|
340;199&5|588&5|497&5|95&5|
317;313&4|299&4|328&4|260&4|
341;881&5|887&5|880&5|335&4|
343;231&5|357&5|134&5|65&5|
344;198&5|1142&5|100&5|367&5|
9;385&5|286&5|6&5|371&5|
345;582&5|98&5|56&5|223&5|
346;56&5|2&5|520&5|318&5|
242;934&5|1152&5|305&5|361&5|
273;896&4|690&4|319&4|321&4|
347;157&5|239&5|293&5|82&5|
86;1176&5|889&5|888&4|259&4|
245;717&4|112&4|258&4|50&4|
349;20&5|411&4|619&4|15&4|
348;313&5|126&5|147&5|111&5|
354;528&5|136&5|509&5|10&5|
146;272&5|245&5|1293&5|311&4|
351;898&5|990&5|879&5|258&5|
55;273&5|89&5|56&4|174&4|
358;1021&5|1159&5|221&5|132&5|
352;172&5|174&5|182&5|98&5|
