state;action_reward;n_state
484&5|1530&2|1119&3|77&2|568&3|965&5|845&4|519&4|90&3|430&5|584&4|179&4;402&3|1052&2|1197&3|715&3;484&5|1530&2|1119&3|77&2|568&3|965&5|845&4|519&4|90&3|430&5|584&4|179&4|402&3|1052&2|1197&3|715&3
297&4|165&4|748&3|334&3|591&4|246&4|10&4|936&4|319&4|129&4|332&3|303&4;1153&3|1005&5|885&2|752&3;297&4|165&4|748&3|334&3|591&4|246&4|10&4|936&4|319&4|129&4|332&3|303&4|1153&3|1005&5|885&2|752&3
328&4|258&4|355&4|347&4|302&5|327&4|879&4|989&4|316&5|333&4|329&3|272&5;751&4|689&4|271&4|878&4;328&4|258&4|355&4|347&4|302&5|327&4|879&4|989&4|316&5|333&4|329&3|272&5|751&4|689&4|271&4|878&4
730&3|50&4|169&5|718&3|511&4|530&4|603&4|171&4|8&5|408&5|628&3|952&2;31&3|56&5|70&3|724&3;730&3|50&4|169&5|718&3|511&4|530&4|603&4|171&4|8&5|408&5|628&3|952&2|31&3|56&5|70&3|724&3
222&3|71&3|559&3|317&4|727&4|144&2|380&3|89&5|1221&4|77&3|162&5|240&1;116&5|969&5|16&5|1024&5;222&3|71&3|559&3|317&4|727&4|144&2|380&3|89&5|1221&4|77&3|162&5|240&1|116&5|969&5|16&5|1024&5
300&4|305&2|289&3|882&5|269&5|294&3|321&3|243&5|332&5|286&5|873&5|245&4;324&2|322&3|875&1|938&1;300&4|305&2|289&3|882&5|269&5|294&3|321&3|243&5|332&5|286&5|873&5|245&4|324&2|322&3|875&1|938&1
410&4|1047&3|476&2|100&3|269&3|475&5|150&3|824&3|412&1|276&4|116&3|405&3;42&4|544&2|1&4|432&2;410&4|1047&3|476&2|100&3|269&3|475&5|150&3|824&3|412&1|276&4|116&3|405&3|42&4|544&2|1&4|432&2
237&4|393&2|97&4|210&4|204&4|664&4|432&5|183&2|154&3|175&4|67&4|554&4;225&2|584&4|1311&1|94&4;237&4|393&2|97&4|210&4|204&4|664&4|432&5|183&2|154&3|175&4|67&4|554&4|225&2|584&4|1311&1|94&4
926&3|118&4|405&3|25&3|1615&2|472&3|121&4|235&4|252&3|109&3|408&5|597&3;969&5|820&4|826&3|568&4;926&3|118&4|405&3|25&3|1615&2|472&3|121&4|235&4|252&3|109&3|408&5|597&3|969&5|820&4|826&3|568&4
163&4|238&4|86&5|692&4|1039&4|283&5|322&4|181&5|505&5|648&5|8&3|211&5;430&4|393&3|88&4|204&4;163&4|238&4|86&5|692&4|1039&4|283&5|322&4|181&5|505&5|648&5|8&3|211&5|430&4|393&3|88&4|204&4
176&2|129&4|581&4|228&1|684&4|644&4|1&4|699&3|380&1|191&5|89&3|628&4;484&4|443&3|504&4|127&5;176&2|129&4|581&4|228&1|684&4|644&4|1&4|699&3|380&1|191&5|89&3|628&4|484&4|443&3|504&4|127&5
144&2|318&5|173&3|193&4|283&5|705&4|498&4|210&3|591&4|174&4|166&3|222&1;164&3|282&4|479&4|482&2;144&2|318&5|173&3|193&4|283&5|705&4|498&4|210&3|591&4|174&4|166&3|222&1|164&3|282&4|479&4|482&2
539&3|678&3|136&4|895&4|332&5|655&5|300&5|22&5|321&5|358&1|292&5|181&4;289&5|330&3|323&2|322&5;539&3|678&3|136&4|895&4|332&5|655&5|300&5|22&5|321&5|358&1|292&5|181&4|289&5|330&3|323&2|322&5
939&3|275&4|514&5|15&3|86&5|269&5|321&5|279&4|23&4|285&5|205&3|25&4;258&4|116&4|287&5|480&4;939&3|275&4|514&5|15&3|86&5|269&5|321&5|279&4|23&4|285&5|205&3|25&4|258&4|116&4|287&5|480&4
